[2024-04-12T17:44:09.220+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_members_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T17:44:09.227+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_members_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T17:44:09.228+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-12T17:44:09.237+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_members_to_gcs> on 2024-03-15 00:00:00+00:00
[2024-04-12T17:44:09.243+0000] {standard_task_runner.py:60} INFO - Started process 153 to run task
[2024-04-12T17:44:09.248+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_members_to_gcs', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmp_5v2ukn9']
[2024-04-12T17:44:09.252+0000] {standard_task_runner.py:88} INFO - Job 8: Subtask upload_members_to_gcs
[2024-04-12T17:44:09.320+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_members_to_gcs scheduled__2024-03-15T00:00:00+00:00 [running]> on host 08bbc0b56ffc
[2024-04-12T17:44:09.388+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_members_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-03-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-15T00:00:00+00:00'
[2024-04-12T17:44:10.301+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_L000557.json to gs://congress_data/members/member_L000557.json
[2024-04-12T17:44:10.803+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_A000371.json to gs://congress_data/members/member_A000371.json
[2024-04-12T17:44:11.243+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_W000813.json to gs://congress_data/members/member_W000813.json
[2024-04-12T17:44:11.679+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_S000929.json to gs://congress_data/members/member_S000929.json
[2024-04-12T17:44:12.125+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_F000454.json to gs://congress_data/members/member_F000454.json
[2024-04-12T17:44:12.597+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000555.json to gs://congress_data/members/member_G000555.json
[2024-04-12T17:44:13.032+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_G000386.json to gs://congress_data/members/member_G000386.json
[2024-04-12T17:44:13.460+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/members/member_H000601.json to gs://congress_data/members/member_H000601.json
