[2024-04-12T17:46:04.947+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T17:46:04.951+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [queued]>
[2024-04-12T17:46:04.951+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-12T17:46:04.957+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): upload_votes_to_gcs> on 2024-03-15 00:00:00+00:00
[2024-04-12T17:46:04.962+0000] {standard_task_runner.py:60} INFO - Started process 191 to run task
[2024-04-12T17:46:04.964+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'upload_votes_to_gcs', 'scheduled__2024-03-15T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpxzdji51n']
[2024-04-12T17:46:04.967+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask upload_votes_to_gcs
[2024-04-12T17:46:04.997+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.upload_votes_to_gcs scheduled__2024-03-15T00:00:00+00:00 [running]> on host 08bbc0b56ffc
[2024-04-12T17:46:05.039+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='upload_votes_to_gcs' AIRFLOW_CTX_EXECUTION_DATE='2024-03-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-15T00:00:00+00:00'
[2024-04-12T17:46:05.926+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber109.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber109.json
[2024-04-12T17:46:06.481+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber234.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber234.json
[2024-04-12T17:46:06.937+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber35.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber35.json
[2024-04-12T17:46:07.462+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber187.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber187.json
[2024-04-12T17:46:07.941+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_74_voteNumber335.json to gs://congress_data/votes/HJRES/HJRES_74_voteNumber335.json
[2024-04-12T17:46:08.422+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_24_voteNumber118.json to gs://congress_data/votes/HJRES/HJRES_24_voteNumber118.json
[2024-04-12T17:46:08.863+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber142.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber142.json
[2024-04-12T17:46:09.337+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber135.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber135.json
[2024-04-12T17:46:09.801+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_79_voteNumber337.json to gs://congress_data/votes/HJRES/HJRES_79_voteNumber337.json
[2024-04-12T17:46:10.290+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_26_voteNumber119.json to gs://congress_data/votes/HJRES/HJRES_26_voteNumber119.json
[2024-04-12T17:46:10.781+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_44_voteNumber252.json to gs://congress_data/votes/HJRES/HJRES_44_voteNumber252.json
[2024-04-12T17:46:11.264+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber124.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber124.json
[2024-04-12T17:46:11.756+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_30_voteNumber149.json to gs://congress_data/votes/HJRES/HJRES_30_voteNumber149.json
[2024-04-12T17:46:12.218+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_7_voteNumber104.json to gs://congress_data/votes/HJRES/HJRES_7_voteNumber104.json
[2024-04-12T17:46:12.711+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber233.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber233.json
[2024-04-12T17:46:13.159+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber134.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber134.json
[2024-04-12T17:46:13.639+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_27_voteNumber79.json to gs://congress_data/votes/HJRES/HJRES_27_voteNumber79.json
[2024-04-12T17:46:14.135+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber188.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber188.json
[2024-04-12T17:46:14.602+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber126.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber126.json
[2024-04-12T17:46:15.084+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_42_voteNumber253.json to gs://congress_data/votes/HJRES/HJRES_42_voteNumber253.json
[2024-04-12T17:46:15.526+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_98_voteNumber122.json to gs://congress_data/votes/HJRES/HJRES_98_voteNumber122.json
[2024-04-12T17:46:16.010+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_44_voteNumber171.json to gs://congress_data/votes/HJRES/HJRES_44_voteNumber171.json
[2024-04-12T17:46:16.562+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_26_voteNumber49.json to gs://congress_data/votes/HJRES/HJRES_26_voteNumber49.json
[2024-04-12T17:46:17.009+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_39_voteNumber202.json to gs://congress_data/votes/HJRES/HJRES_39_voteNumber202.json
[2024-04-12T17:46:17.514+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_70_voteNumber334.json to gs://congress_data/votes/HJRES/HJRES_70_voteNumber334.json
[2024-04-12T17:46:17.974+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_45_voteNumber277.json to gs://congress_data/votes/HJRES/HJRES_45_voteNumber277.json
[2024-04-12T17:46:18.448+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_88_voteNumber705.json to gs://congress_data/votes/HJRES/HJRES_88_voteNumber705.json
[2024-04-12T17:46:18.922+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_68_voteNumber333.json to gs://congress_data/votes/HJRES/HJRES_68_voteNumber333.json
[2024-04-12T17:46:19.374+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_7_voteNumber80.json to gs://congress_data/votes/HJRES/HJRES_7_voteNumber80.json
[2024-04-12T17:46:19.824+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HJRES/HJRES_71_voteNumber336.json to gs://congress_data/votes/HJRES/HJRES_71_voteNumber336.json
[2024-04-12T17:46:20.302+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_57_voteNumber338.json to gs://congress_data/votes/HCONRES/HCONRES_57_voteNumber338.json
[2024-04-12T17:46:20.804+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_21_voteNumber136.json to gs://congress_data/votes/HCONRES/HCONRES_21_voteNumber136.json
[2024-04-12T17:46:21.394+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_40_voteNumber227.json to gs://congress_data/votes/HCONRES/HCONRES_40_voteNumber227.json
[2024-04-12T17:46:21.878+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_30_voteNumber201.json to gs://congress_data/votes/HCONRES/HCONRES_30_voteNumber201.json
[2024-04-12T17:46:22.378+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_9_voteNumber106.json to gs://congress_data/votes/HCONRES/HCONRES_9_voteNumber106.json
[2024-04-12T17:46:22.908+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/HCONRES/HCONRES_25_voteNumber162.json to gs://congress_data/votes/HCONRES/HCONRES_25_voteNumber162.json
[2024-04-12T17:46:23.464+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/S_316_voteNumber70.json to gs://congress_data/votes/S/S_316_voteNumber70.json
[2024-04-12T17:46:23.924+0000] {logging_mixin.py:188} INFO - Uploaded /opt/***/dags/data/votes/S/S_2051_voteNumber106.json to gs://congress_data/votes/S/S_2051_voteNumber106.json
